Caption,Description,Identifying Number,Install Date,Install Location,Install State,Name,Package Cache,SKU Number,Vendor,Version
SQL Server System CLR Types,SQL Server System CLR Types,{342D4AD7-EC4C-4EC8-AEA6-E70F5905A490},,,5,SQL Server System CLR Types,C:\Windows\Installer\e17f28.msi,,Microsoft Corporation,10.0.1600.22
Microsoft SQL Server 2005 Express Edition (SQLEXPRESS),Microsoft SQL Server 2005 Express Edition (SQLEXPRESS),{2AFFFDD7-ED85-4A90-8C52-5DA9EBDC9B8F},,c:\Program Files\Microsoft SQL Server\,5,Microsoft SQL Server 2005 Express Edition (SQLEXPRESS),c:\Windows\Installer\1f6a381.msi,,Microsoft Corporation,9.3.4035.00
Microsoft SQL Server Compact 3.5 for Devices ENU,Microsoft SQL Server Compact 3.5 for Devices ENU,{241F2BF7-69EB-42A4-9156-96B2426C7504},,C:\Program Files\Microsoft SQL Server Compact Edition\v3.5\,5,Microsoft SQL Server Compact 3.5 for Devices ENU,C:\Windows\Installer\a2467.msi,,Microsoft Corporation,3.5.5386.0
Microsoft SQL Server 2008 RsFx Driver,Microsoft SQL Server 2008 RsFx Driver,{F1DC7648-8623-442F-92B7-E118DF61872E},,,5,Microsoft SQL Server 2008 RsFx Driver,C:\Windows\Installer\e17f13.msi,,Microsoft Corporation,10.0.1600.22
Adobe AIR,Adobe AIR,{00203668-8170-44A0-BE44-B632FA4D780F},,,5,Adobe AIR,C:\Windows\Installer\16682.msi,,Adobe Systems Inc.,1.0.8.4990
Microsoft SQL Server VSS Writer,Microsoft SQL Server VSS Writer,{B857D868-F8B0-43EE-BC2B-D9E5ED21F237},,,5,Microsoft SQL Server VSS Writer,C:\Windows\Installer\e17ee2.msi,,Microsoft Corporation,10.0.1600.22
Microsoft Office Live Meeting 2007,Microsoft Office Live Meeting 2007,{2515BF88-E42E-4AFA-A8E7-DF272762589B},,C:\Program Files\Microsoft Office\Live Meeting 8\Console\,5,Microsoft Office Live Meeting 2007,C:\Windows\Installer\16750.msi,,Microsoft Corporation,8.0.6362.128
Java 2 Runtime Environment, SE v1.4.2_13,Java 2 Runtime Environment, SE v1.4.2_13,{7148F0A8-6813-11D6-A77B-00B0D0142130},,,5,Java 2 Runtime Environment, SE v1.4.2_13,C:\Windows\Installer\5db229.msi,,Sun Microsystems, Inc.,1.4.2_13
Microsoft Windows SDK for Visual Studio 2008 .NET Framework Tools - enu,Microsoft Windows SDK for Visual Studio 2008 .NET Framework Tools - enu,{05EC21B8-4593-3037-A781-A6B5AFFCB19D},,,5,Microsoft Windows SDK for Visual Studio 2008 .NET Framework Tools - enu,C:\Windows\Installer\a24dd.msi,,Microsoft Corporation,3.5.21022
Greentrac DMA,Greentrac DMA,{A6B81FE8-2D34-4F95-8B75-66A24C7F2143},,C:\Program Files\Event Zero\Greentrac DMA\,5,Greentrac DMA,C:\Windows\Installer\1527845.msi,,Event Zero,3.0.428.0
Microsoft Visual Studio 2005 Tools for Office Runtime,Microsoft Visual Studio 2005 Tools for Office Runtime,{388E4B09-3E71-4649-8921-F44A3A2954A7},,,5,Microsoft Visual Studio 2005 Tools for Office Runtime,c:\Windows\Installer\a245a.msi,,Microsoft Corporation,8.0.60940.0
Crystal Reports Basic for Visual Studio 2008,Crystal Reports Basic for Visual Studio 2008,{AA467959-A1D6-4F45-90CD-11DC57733F32},,,5,Crystal Reports Basic for Visual Studio 2008,C:\Windows\Installer\a24c8.msi,,Business Objects,10.5.0.0
Microsoft SQL Server 2005 Tools Express Edition,Microsoft SQL Server 2005 Tools Express Edition,{2750B389-A2D2-4953-99CA-27C1F2A8E6FD},,c:\Program Files\Microsoft SQL Server\,5,Microsoft SQL Server 2005 Tools Express Edition,c:\Windows\Installer\1f6a419.msi,,Microsoft Corporation,9.3.4035.00
Microsoft SQL Server 2008 Database Engine Shared,Microsoft SQL Server 2008 Database Engine Shared,{4815BD99-96A4-49FE-A885-DCF06E9E4E78},,,5,Microsoft SQL Server 2008 Database Engine Shared,C:\Windows\Installer\e17ed7.msi,,Microsoft Corporation,10.0.1600.22
Microsoft Conferencing Add-in for Microsoft Office Outlook,Microsoft Conferencing Add-in for Microsoft Office Outlook,{9FEAC0B9-289F-4BB8-A5FA-7A5D20D794C7},,,5,Microsoft Conferencing Add-in for Microsoft Office Outlook,C:\Windows\Installer\16759.msi,,Microsoft Corporation,8.0.6362.114
Microsoft .NET Compact Framework 2.0 SP2,Microsoft .NET Compact Framework 2.0 SP2,{EDDF99D9-9FE3-4871-A7DB-D1522C51EE9A},,,5,Microsoft .NET Compact Framework 2.0 SP2,C:\Windows\Installer\a2442.msi,,Microsoft Corporation,2.0.7045
tools-linux,tools-linux,{D102611A-6466-4101-A51D-51069303AC65},,,5,tools-linux,C:\Windows\Installer\73c6d7.msi,,VMware, Inc.,8.1.3.9911
Microsoft Network Monitor 3.4,Microsoft Network Monitor 3.4,{A2F2C44A-869E-4C32-9CEC-E22B1CC91F06},,,5,Microsoft Network Monitor 3.4,C:\Windows\Installer\47ec2.msi,,Microsoft Corporation,3.4.2350.0
VC Runtimes MSI,VC Runtimes MSI,{FF29527A-44CD-3422-945E-981A13584000},,,5,VC Runtimes MSI,C:\Windows\Installer\a22ef.msi,,Microsoft,9.0.21022
Microsoft .NET Compact Framework 3.5,Microsoft .NET Compact Framework 3.5,{291B3A3B-F808-45B8-8113-DF232FCB6C82},,,5,Microsoft .NET Compact Framework 3.5,C:\Windows\Installer\a2447.msi,,Microsoft Corporation,3.5.7283
WIMGAPI,WIMGAPI,{721ABC3B-5F12-4332-9C0C-C11424EF666C},,,5,WIMGAPI,C:\Windows\Installer\16673.msi,,Microsoft Corporation,1.0.0.0
Microsoft SQL Server 2008 Management Studio,Microsoft SQL Server 2008 Management Studio,{2020045B-8DCF-4449-8D5C-EB5BA37440F1},,,5,Microsoft SQL Server 2008 Management Studio,C:\Windows\Installer\e18030.msi,,Microsoft Corporation,10.0.1600.22
Realtek WLAN Driver,Realtek WLAN Driver,{0FB630AB-7BD8-40AE-B223-60397D57C3C9},,C:\Program Files\Realtek WLAN Driver\,5,Realtek WLAN Driver,C:\Windows\Installer\5788d.msi,,Realtek,2.00.0009
Citrix Presentation Server Client,Citrix Presentation Server Client,{B2AE44CB-2AAB-4C08-A54B-D264BD604DA8},,C:\Program Files\Citrix\ICA Client\,5,Citrix Presentation Server Client,C:\Windows\Installer\1668f.msi,,Citrix Systems, Inc.,10.00.52110
tools-solaris,tools-solaris,{AB1C87CB-1807-4CF0-B4C2-CEE14C18CDB4},,,5,tools-solaris,C:\Windows\Installer\73c6e1.msi,,VMware, Inc.,8.1.3.9911
Microsoft SQL Server Compact 3.5 SP1 English,Microsoft SQL Server Compact 3.5 SP1 English,{E59113EB-0285-4BFD-A37A-B79EAC6B8F4B},,C:\Program Files\Microsoft SQL Server Compact Edition\,5,Microsoft SQL Server Compact 3.5 SP1 English,C:\Windows\Installer\e17f5a.msi,,Microsoft Corporation,3.5.5692.0
Bluetooth Stack for Windows by Toshiba,Bluetooth Stack for Windows by Toshiba,{CEBB6BFB-D708-4F99-A633-BC2600E01EF6},,C:\Program Files\Toshiba\Bluetooth Toshiba Stack\,5,Bluetooth Stack for Windows by Toshiba,C:\Windows\Installer\57892.msi,,TOSHIBA CORPORATION,7.10.10
Microsoft Document Explorer 2008,Microsoft Document Explorer 2008,{6753B40C-0FBD-3BED-8A9D-0ACAC2DCD85D},,,5,Microsoft Document Explorer 2008,C:\Windows\Installer\a230a.msi,,Microsoft Corporation,9.0.21022
Sql Server Customer Experience Improvement Program,Sql Server Customer Experience Improvement Program,{C965F01C-76EA-4BD7-973E-46236AE312D7},,,5,Sql Server Customer Experience Improvement Program,C:\Windows\Installer\e17f0e.msi,,Microsoft Corporation,10.0.1600.22
Microsoft SQL Server 2008 Integration Services,Microsoft SQL Server 2008 Integration Services,{40F34A1C-65A2-4163-98CE-A0D0646CABEF},,,5,Microsoft SQL Server 2008 Integration Services,C:\Windows\Installer\e17fc2.msi,,Microsoft Corporation,10.0.1600.22
